fips,pollutant,year,pred_wght,state_abbr,lat,lon
49021,o3,2000,59.7785544851938,UT,37.7091593852219,-113.073797045253
49023,o3,2000,61.4905675873512,UT,39.7503682119852,-111.894820124927
49025,o3,2000,60.2895585263158,UT,37.1148368701754,-112.425845052632
49027,o3,2000,60.8616529872831,UT,39.2146051027753,-112.495065344317
49029,o3,2000,62.0910321998099,UT,41.073209483578,-111.718139613476
49031,o3,2000,63.6970324550129,UT,38.2884787917738,-112.208066195373
49033,o3,2000,61.314323409894,UT,41.7668911219081,-111.279030477032
49035,o3,2000,57.5241071449175,UT,40.6463220871068,-111.922750444566
49037,o3,2000,60.583246012478,UT,37.5238815271938,-109.520258849858
49039,o3,2000,63.1223596326648,UT,39.3805494536698,-111.60655510028
49041,o3,2000,61.8152769781752,UT,38.7747415152389,-112.041913902509
49043,o3,2000,63.0880529870058,UT,40.7278118957163,-111.47074911904
49045,o3,2000,59.8795798618984,UT,40.5607820553781,-112.379282575836
49047,o3,2000,58.1257699429238,UT,40.4264818982448,-109.597110807659
49049,o3,2000,59.351032498974,UT,40.2723486568944,-111.731664994076
49051,o3,2000,62.5856062090948,UT,40.5056975478113,-111.412290182745
49053,o3,2000,59.0999199804511,UT,37.1351630409441,-113.51971034283
49055,o3,2000,64.7323463282937,UT,38.3616346652268,-111.467329013679
49057,o3,2000,57.0771693110069,UT,41.2246134542199,-111.990295654656
49001,o3,2001,59.30190553628,UT,38.2997093980993,-112.776410318298
49003,o3,2001,58.4372303791896,UT,41.5910270435218,-112.099936388194
49005,o3,2001,57.4870814222057,UT,41.7443369753941,-111.840606368059
49007,o3,2001,60.2419143531281,UT,39.6016290379853,-110.777271924497
49009,o3,2001,59.0340428706327,UT,40.9678584513692,-109.646155807365
49011,o3,2001,59.6681161586928,UT,41.0195707346996,-111.958836533661
49013,o3,2001,59.2137207556296,UT,40.2894083194497,-110.16534938464
49015,o3,2001,60.7636549289359,UT,39.2160518586006,-110.9253240707
49017,o3,2001,57.6524576759474,UT,37.761851450116,-112.088923433875
49019,o3,2001,56.525248,UT,38.569099598916,-109.530232411924
49021,o3,2001,57.5383850356346,UT,37.7091593852219,-113.073797045253
49023,o3,2001,59.7700172555143,UT,39.7503682119852,-111.894820124927
49025,o3,2001,56.8450688982456,UT,37.1148368701754,-112.425845052632
49027,o3,2001,59.6847891386067,UT,39.2146051027753,-112.495065344317
49029,o3,2001,63.4288120815292,UT,41.073209483578,-111.718139613476
49031,o3,2001,60.4686546915167,UT,38.2884787917738,-112.208066195373
49033,o3,2001,61.3683233215548,UT,41.7668911219081,-111.279030477032
49035,o3,2001,58.5756415015709,UT,40.6463220871068,-111.922750444566
49037,o3,2001,58.6460914959989,UT,37.5238815271938,-109.520258849858
49039,o3,2001,60.5709810581554,UT,39.3805494536698,-111.60655510028
49041,o3,2001,59.0183645755216,UT,38.7747415152389,-112.041913902509
49043,o3,2001,63.6591685579782,UT,40.7278118957163,-111.47074911904
49045,o3,2001,60.1523691452815,UT,40.5607820553781,-112.379282575836
49047,o3,2001,57.3380417975942,UT,40.4264818982448,-109.597110807659
49049,o3,2001,58.8846376067631,UT,40.2723486568944,-111.731664994076
49051,o3,2001,62.2968252273693,UT,40.5056975478113,-111.412290182745
49053,o3,2001,58.0094944589654,UT,37.1351630409441,-113.51971034283
49055,o3,2001,62.8868147588193,UT,38.3616346652268,-111.467329013679
49057,o3,2001,58.8833270174194,UT,41.2246134542199,-111.990295654656
49001,o3,2002,59.9130677628602,UT,38.2997093980993,-112.776410318298
49003,o3,2002,58.5755182111056,UT,41.5910270435218,-112.099936388194
49005,o3,2002,57.7654914651683,UT,41.7443369753941,-111.840606368059
49007,o3,2002,59.2756441760501,UT,39.6016290379853,-110.777271924497
49009,o3,2002,58.4543071765817,UT,40.9678584513692,-109.646155807365
49011,o3,2002,58.0659343837588,UT,41.0195707346996,-111.958836533661
49013,o3,2002,58.0052566345999,UT,40.2894083194497,-110.16534938464
49015,o3,2002,60.1118502459913,UT,39.2160518586006,-110.9253240707
49017,o3,2002,59.9540161832947,UT,37.761851450116,-112.088923433875
49019,o3,2002,57.9456849105691,UT,38.569099598916,-109.530232411924
49021,o3,2002,59.5660794965665,UT,37.7091593852219,-113.073797045253
49023,o3,2002,59.3591339156744,UT,39.7503682119852,-111.894820124927
49025,o3,2002,59.2473640982456,UT,37.1148368701754,-112.425845052632
49027,o3,2002,59.8525942173878,UT,39.2146051027753,-112.495065344317
49029,o3,2002,59.6772619283979,UT,41.073209483578,-111.718139613476
49031,o3,2002,59.9813632390745,UT,38.2884787917738,-112.208066195373
49033,o3,2002,58.3020232773852,UT,41.7668911219081,-111.279030477032
49035,o3,2002,57.5642979380472,UT,40.6463220871068,-111.922750444566
49037,o3,2002,59.0295731520412,UT,37.5238815271938,-109.520258849858
49039,o3,2002,59.6170295054274,UT,39.3805494536698,-111.60655510028
49041,o3,2002,59.4791882030574,UT,38.7747415152389,-112.041913902509
49043,o3,2002,60.2596599135558,UT,40.7278118957163,-111.47074911904
49045,o3,2002,58.3242576746024,UT,40.5607820553781,-112.379282575836
49047,o3,2002,58.404358128759,UT,40.4264818982448,-109.597110807659
49049,o3,2002,57.9787069182134,UT,40.2723486568944,-111.731664994076
49051,o3,2002,59.585710599235,UT,40.5056975478113,-111.412290182745
49053,o3,2002,58.7236721775332,UT,37.1351630409441,-113.51971034283
49055,o3,2002,61.3292984881209,UT,38.3616346652268,-111.467329013679
49057,o3,2002,58.4097376459548,UT,41.2246134542199,-111.990295654656
49001,o3,2003,59.5951812188867,UT,38.2997093980993,-112.776410318298
49003,o3,2003,59.0274684542271,UT,41.5910270435218,-112.099936388194
49005,o3,2003,57.8363667545448,UT,41.7443369753941,-111.840606368059
49007,o3,2003,61.59216701397,UT,39.6016290379853,-110.777271924497
49009,o3,2003,60.833442776204,UT,40.9678584513692,-109.646155807365
49011,o3,2003,59.1072863527354,UT,41.0195707346996,-111.958836533661
49013,o3,2003,60.7771566883431,UT,40.2894083194497,-110.16534938464
49015,o3,2003,62.0057057397959,UT,39.2160518586006,-110.9253240707
49017,o3,2003,58.9377535962877,UT,37.761851450116,-112.088923433875
49019,o3,2003,59.6396812249322,UT,38.569099598916,-109.530232411924
49021,o3,2003,58.0298127678011,UT,37.7091593852219,-113.073797045253
49023,o3,2003,60.456381456178,UT,39.7503682119852,-111.894820124927
49025,o3,2003,58.1443429192982,UT,37.1148368701754,-112.425845052632
49027,o3,2003,60.0543146764776,UT,39.2146051027753,-112.495065344317
49029,o3,2003,63.2054033688879,UT,41.073209483578,-111.718139613476
49031,o3,2003,59.8081125321337,UT,38.2884787917738,-112.208066195373
49033,o3,2003,62.3706447879859,UT,41.7668911219081,-111.279030477032
49035,o3,2003,58.674951199965,UT,40.6463220871068,-111.922750444566
49037,o3,2003,60.0964272887563,UT,37.5238815271938,-109.520258849858
49039,o3,2003,60.30964407663,UT,39.3805494536698,-111.60655510028
49041,o3,2003,59.7523964041919,UT,38.7747415152389,-112.041913902509
49043,o3,2003,64.3564824523731,UT,40.7278118957163,-111.47074911904
49045,o3,2003,59.9584581916246,UT,40.5607820553781,-112.379282575836
49047,o3,2003,59.5533270743832,UT,40.4264818982448,-109.597110807659
49049,o3,2003,59.5263044015843,UT,40.2723486568944,-111.731664994076
49051,o3,2003,63.8746481767956,UT,40.5056975478113,-111.412290182745
49053,o3,2003,59.0688851428158,UT,37.1351630409441,-113.51971034283
49055,o3,2003,62.0104148308135,UT,38.3616346652268,-111.467329013679
49057,o3,2003,59.1569684599284,UT,41.2246134542199,-111.990295654656
49001,o3,2004,58.3921078744909,UT,38.2997093980993,-112.776410318298
49003,o3,2004,53.5862268674337,UT,41.5910270435218,-112.099936388194
49005,o3,2004,52.5492652943474,UT,41.7443369753941,-111.840606368059
49007,o3,2004,58.5505167920385,UT,39.6016290379853,-110.777271924497
49009,o3,2004,57.2201061378659,UT,40.9678584513692,-109.646155807365
49011,o3,2004,53.5338787965897,UT,41.0195707346996,-111.958836533661
49013,o3,2004,56.4339369645832,UT,40.2894083194497,-110.16534938464
49015,o3,2004,60.537765324344,UT,39.2160518586006,-110.9253240707
